Date,Price,Open,High,Low,Vol.,
03/15/2021,119.88,118.74,121.26,118.74,3.23K,
03/12/2021,119.43,117.59,121.03,117.59,151.28K,
03/10/2021,117.59,119.43,119.43,117.13,435.46K,
03/09/2021,120.34,121.72,123.1,120.34,255.79K,
03/08/2021,121.26,116.67,121.26,116.67,136.33K,
03/05/2021,116.67,119.2,119.43,115.75,529.86K,
03/04/2021,118.97,117.59,119.43,114.83,92.88K,
03/03/2021,116.21,119.43,120.11,115.29,82.65K,
03/02/2021,119.2,122.18,122.18,118.51,255.32K,
03/01/2021,122.18,123.56,124.94,121.26,35.03K,
02/25/2021,122.87,123.1,123.1,121.26,209.01K,
02/24/2021,120.11,121.26,123.1,119.43,92.83K,
02/23/2021,121.49,124.94,124.94,119.66,125.86K,
02/22/2021,124.71,128.61,128.61,124.02,55.25K,
02/19/2021,126.54,124.94,127.46,124.94,179.57K,
02/18/2021,124.94,124.94,125.86,124.02,414.65K,
02/17/2021,125.4,125.63,126.77,120.34,195.95K,
02/16/2021,125.63,128.61,128.61,124.02,520.55K,
02/15/2021,128.61,130.22,134.35,127.92,1.18M,
02/12/2021,128.15,126.77,128.61,125.86,169.01K,
02/11/2021,123.79,127,130.45,115.06,433.12K,
02/10/2021,127.92,128.61,131.37,127.69,193.19K,
02/09/2021,130.68,132.29,132.29,126.77,320.62K,
02/08/2021,133.21,137.8,137.8,132.29,1.10M,
02/05/2021,136.19,132.75,137.11,131.83,630.31K,
02/03/2021,132.75,127.69,135.04,125.86,699.18K,
02/02/2021,127.69,138.03,138.03,124.25,676.66K,
02/01/2021,138.49,143.31,146.76,136.88,1.10M,
01/29/2021,143.08,142.39,151.58,141.47,2.98M,
01/27/2021,136.42,143.31,143.31,135.27,723.55K,
01/26/2021,141.47,140.32,145.61,140.32,2.35M,
01/25/2021,139.41,131.37,140.32,130.91,1.79M,
01/22/2021,129.76,128.61,130.91,127.69,1.59M,
01/21/2021,127,128.61,129.99,125.86,967.02K,
01/20/2021,128.15,129.53,134.12,125.86,4.23M,
01/19/2021,127.69,124.02,129.99,123.33,4.44M,
01/18/2021,121.72,119.43,124.94,119.43,1.56M,
01/15/2021,117.82,116.67,119.43,115.52,720.58K,
01/13/2021,116.44,117.59,117.82,115.98,324.28K,
01/12/2021,117.59,118.51,118.51,117.13,245.88K,
01/11/2021,118.05,118.97,119.43,117.59,214.51K,
